sample-id	sample	category
beta01	Control_01	NoPlastic
Beta02	Control_02	NoPlastic
Beta03	Control_03	NoPlastic
Beta04	Control_04	NoPlastic
Beta05	Control_06	NoPlastic
Beta06	Control_07	NoPlastic
Beta07	Control_08	NoPlastic
Beta08	Kit_blank	NegControl
Beta09	Platistic_01	Plastic
Beta10	Platistic_02	Plastic
Beta11	Platistic_03	Plastic
Beta12	Platistic_05	Plastic
Beta13	Platistic_07	Plastic
Beta14	Platistic_08	Plastic
Beta15	Mock_Community	PosControl
Beta16	Mesocosm_Water	NegControl
Beta17	Water_Control_1	NegControl
Beta18	Water_Control_2	NegControl
